id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
184,train,1188.0,976.0,835.0,394.76035725707453,394.76035725707453,0
185,test,1040.0,958.0,766.0,404.77724560934905,404.77724560934905,0
186,train,1483.5999755859375,1127.800048828125,947.4000244140625,426.4026337515446,426.4026337515446,0
187,train,1401.0,1045.5,933.0,438.6154054993057,438.6154054993057,0
188,train,1187.3333740234375,924.6666870117188,762.6666870117188,416.6271208178164,416.6271208178164,0
189,test,1074.6666259765625,943.6666870117188,970.0,442.52288779424197,442.52288779424197,0
190,train,1252.0,1080.0,940.0,337.8357182512639,337.8357182512639,0
191,test,1276.0,1130.0,988.0,342.742780188084,342.742780188084,0
192,test,1558.0,1148.0,960.6666870117188,384.90639944289376,384.90639944289376,0
193,test,1239.0,1083.0,911.5,348.714547300129,348.714547300129,0
194,train,1246.0,978.0,832.0,368.2345527102442,368.2345527102442,0
195,train,1204.0,1016.0,882.0,356.2473915049519,356.2473915049519,0
196,train,1741.0,1258.0,952.0,401.51709023870865,401.51709023870865,0
197,train,1260.0,939.0,754.0,390.3569458539297,390.3569458539297,0
198,train,0.0,0.0,0.0,372.1752661080247,372.1752661080247,0
199,train,1363.3333740234375,1099.3333740234375,908.6666870117188,407.55408274274834,407.55408274274834,0
200,train,1141.0,992.5,823.5,190.41192798080266,190.41192798080266,0
201,train,1308.0,1120.0,1108.0,207.66725680044297,207.66725680044297,0
202,train,1232.0,1037.0,837.0,150.8777787563223,150.8777787563223,0
203,train,0.0,0.0,0.0,144.56944941989565,144.56944941989565,0
204,test,1293.25,1120.0,979.0,187.58771361768953,187.58771361768953,0
205,train,0.0,0.0,0.0,218.87335299296268,218.87335299296268,0
206,train,0.0,0.0,0.0,157.17490146699046,157.17490146699046,0
207,train,1200.0,969.0,886.0,226.22404645379834,226.22404645379834,0
208,test,1610.0,1344.0,1252.0,193.34476356663785,193.34476356663785,0
209,test,1762.0,1520.0,1346.0,185.61377572094963,185.61377572094963,0
210,train,1252.0,1056.0,913.0,225.66582857470934,225.66582857470934,0
211,train,0.0,0.0,0.0,242.44781683423395,242.44781683423395,0
212,train,1006.0,874.0,730.0,250.97491676633683,250.97491676633683,0
213,train,1307.0,1078.0,894.0,273.84090825900563,273.84090825900563,0
214,train,1012.0,821.0,681.0,244.83516657349193,244.83516657349193,0
215,train,0.0,0.0,0.0,241.45978475958248,241.45978475958248,0
216,train,0.0,0.0,0.0,247.28524000025678,247.28524000025678,0
217,train,0.0,0.0,0.0,254.57066721254185,254.57066721254185,0
218,train,946.0,737.0,638.0,251.48144915247374,251.48144915247374,0
219,test,0.0,0.0,0.0,241.1023740091619,241.1023740091619,0
220,test,0.0,0.0,0.0,231.18837622282396,231.18837622282396,0
221,test,1038.0,915.0,819.0,206.74866318017695,206.74866318017695,0
222,test,1450.0,1312.0,1208.0,214.89270097461934,214.89270097461934,0
223,test,1479.5,1270.5,1088.0,176.85070281480063,176.85070281480063,0
224,train,0.0,0.0,0.0,220.61661526039757,220.61661526039757,0
225,train,0.0,0.0,0.0,213.20009058329492,213.20009058329492,0
226,train,1009.0,904.0,780.0,197.11708752019118,197.11708752019118,0
227,test,0.0,0.0,0.0,225.57561610713003,225.57561610713003,0
228,train,1310.0,1078.0,926.0,205.6759093609343,205.6759093609343,0
229,train,1303.0,1119.0,952.0,214.25104190247055,214.25104190247055,0
230,train,1631.3333740234375,1408.0,1158.6666259765625,8.505779795624345,8.505779795624345,1
231,train,1571.0,1345.0,1127.0,25.315267613375042,25.315267613375042,1
232,train,1610.0,1377.0,1141.0,43.66589347339491,43.66589347339491,0
233,train,1500.0,1300.6666259765625,1111.3333740234375,35.46514991379521,35.46514991379521,1
234,train,1602.0,1384.0,1150.0,20.94660478315118,20.94660478315118,1
235,train,1638.0,1394.0,1150.0,16.023481283203086,16.023481283203086,1
