B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
1651.0,1149.0,398.5,594.0,472.5,2344.0,-0.17346683144569397,0.6644771695137024,0,36.728204296161316,-1.3243413076132045
2192.0,1223.0,399.0,612.0,511.0,2602.0,-0.0855235680937767,0.6716993451118469,0,36.726497497121485,-1.3241616445563806
1987.5,1416.5,706.0,891.5,962.0,2486.0,-0.11143399775028229,0.4419953525066376,0,36.73583997607633,-1.329012547090626
876.0,390.5,234.0,319.0,227.0,2008.0,-0.39251041412353516,0.7968680262565613,0,36.72829412768973,-1.3130225350332985
3224.5,2289.0,713.0,990.5,1085.0,2555.0,0.11584047228097916,0.4038461446762085,0,36.740331552496926,-1.3282040633349186
1762.0,946.5,307.0,544.0,406.5,2648.0,-0.20090703666210175,0.7338353395462036,0,36.75910634193502,-1.2936189248963168
2289.0,1693.0,638.0,874.0,934.0,2438.0,-0.03152104839682579,0.446026086807251,0,36.74949436839495,-1.3267667588803274
921.5,392.5,208.5,283.0,224.0,2131.5,-0.3963314890861511,0.8098068237304688,0,36.72802463310449,-1.3185920897948396
1474.0,716.0,260.0,422.0,274.0,2600.0,-0.2763868570327759,0.8093249797821045,0,36.72416187738278,-1.3038597191352794
3507.0,2393.0,744.0,1004.0,1088.0,2836.0,0.10578590631484985,0.44546380639076233,0,36.758926678878204,-1.3102377576525281
2349.0,1438.0,508.0,744.0,696.0,2740.0,-0.07683238387107849,0.5948777794837952,0,36.72730598087719,-1.3263176012382676
1930.0,1172.0,327.0,570.0,536.0,2856.0,-0.193480983376503,0.6839622855186462,0,36.721287268473596,-1.300895278697685
1616.5,1096.0,353.5,501.0,510.0,1994.0,-0.10455615818500519,0.5926517844200134,0,36.755333417741724,-1.2936189248963168
1470.5,788.5,340.0,600.0,408.0,2919.0,-0.32999202609062195,0.7547339797019958,0,36.73521115537745,-1.3087106216695248
1542.0,709.5,254.5,415.5,253.5,2606.0,-0.2565091550350189,0.8226962685585022,0,36.75686055372473,-1.3130225350332985
2027.5,1309.0,426.5,656.5,666.5,2745.0,-0.1503404974937439,0.6092627644538879,0,36.75946566804867,-1.3317973244713965
1447.0,660.0,268.0,434.0,277.0,2578.0,-0.280993789434433,0.8059544563293457,0,36.74455363433229,-1.3168852907550126
1959.0,989.0,314.0,572.0,353.0,3760.0,-0.31491518020629883,0.8283491134643555,0,36.72784497004766,-1.2973020175612069
1833.0,1078.0,337.0,603.0,415.0,3176.0,-0.26811739802360535,0.7688665986061096,0,36.715987208297285,-1.3116750621071194
1781.0,1013.5,282.5,462.5,339.0,2450.0,-0.15811865031719208,0.7569020986557007,0,36.722904235985006,-1.3255989490109719
1489.0,687.0,274.0,430.0,277.0,2468.0,-0.2474096566438675,0.798178493976593,0,36.758208026650905,-1.3142801764310659
1808.0,814.5,268.0,501.0,335.5,3276.0,-0.28874900937080383,0.8142046332359314,0,36.74697908559941,-1.3088902847263488
